,Productno,Product,Presentprice,Pastprice,Offer,Rating
46, 47, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi Onl...," 25,900 INR"," 29,900 INR", 13% off,4.7
47, 48, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
48, 49, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi On...," 33,900 INR"," 35,200 INR", 3% off,4.7
49, 50, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Sil...," 44,900 INR", one INR, None,4.7
50, 51, Apple iPad Air 256 GB ROM 10.5 inch with Wi-Fi Only (Sp...," 54,900 INR"," 58,900 INR", 6% off,4.7
51, 52, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
52, 53, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi On...," 32,900 INR"," 34,900 INR", 5% off,4.7
53, 54, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
54, 55, Apple iPad (7th Gen) 128 GB ROM 10.2 inch with Wi-Fi+4G...," 46,900 INR"," 48,900 INR", 4% off,4.7
55, 56, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
56, 57, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
57, 58, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
58, 59, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
59, 60, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
60, 61, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
61, 62, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
62, 63, Apple iPad Air 256 GB ROM 10.5 inch with Wi-Fi Only (Si...," 56,900 INR"," 58,900 INR", 3% off,4.7
63, 64, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
64, 65, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi+4...," 54,900 INR"," 59,900 INR", 8% off,4.7
65, 66, Apple iPad Air 64 GB ROM 10.5 inch with Wi-Fi Only (Gol...," 44,900 INR", one INR, None,4.7
66, 67, Apple ipad Mini (2019) 64 GB ROM 7.9 inch with Wi-Fi+4G...," 43,900 INR"," 45,900 INR", 4% off,4.7
67, 68, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 256 GB RO...," 94,900 INR", one INR, None,4.8
68, 69, Apple ipad Mini (2019) 256 GB ROM 7.9 inch with Wi-Fi O...," 46,900 INR"," 48,900 INR", 4% off,4.7
69, 70, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 98,900 INR", one INR, None,4.8
70, 71, Apple iPad (7th Gen) 32 GB ROM 10.2 inch with Wi-Fi+4G ...," 38,900 INR"," 40,900 INR", 4% off,4.7
71, 72, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 512 GB RO...," 1,30,900 INR", one INR, None,4.8
72, 73, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 1 TB ROM ...," 1,16,900 INR", one INR, None,4.8
73, 74, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 98,900 INR", one INR, None,4.8
74, 75, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 512 GB RO...," 1,30,900 INR", one INR, None,4.8
75, 76, Apple iPad Pro 2020 (2nd Generation) 6 GB RAM 512 GB RO...," 1,12,900 INR", one INR, None,4.8
76, 77, Apple iPad Pro 2020 (4th Generation) 6 GB RAM 1 TB ROM ...," 1,48,900 INR", one INR, None,4.8
